id,vague_r,hedge_r,neg_r,passive_r,fog_idx,avg_len,len_var,num_den,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,sent_pos,sent_neg,sent_neu,time_r,excl_r,quest_r,drift_sc,label_int
FS-2556,0.0,0.0,0.0,0.0,84.90967742,15.5,10.25,0.03225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
FS-0112,0.0,0.0,0.0,0.0,84.66666667,15.0,29.0,0.08333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01666667,0.0,0.0,0.0,2
FS-2428,0.0,0.0,0.0,0.0,66.59320755,21.2,27.76,0.05660377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01886792,0.0,0.0,0.0,0
FS-1391,0.0,0.0,0.0,0.0,78.8516129,31.0,16.0,0.14516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01612903,0.0,0.0,0.0,0
FS-1988,0.0,0.0,0.0,0.0,79.1030303,22.0,4.66666667,0.09090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01515152,0.0,0.0,0.0,0
FS-0375,0.0,0.0,0.0,0.0,71.71509434,13.25,18.6875,0.11320755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03773585,0.0,0.0,0.0,0
FS-0324,0.0,0.0,0.0,0.0,80.76363636,11.0,7.2,0.14545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01818182,0.0,0.0,0.0,2
FS-1794,0.0,0.0,0.0,0.0,78.44684685,12.33333333,6.22222222,0.13513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
FS-1011,0.0,0.0,0.0,0.0,68.31111111,18.0,27.5,0.06944444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01388889,0.0,0.0,0.0,0
FS-0807,0.0,0.0,0.0,0.0,74.59090909,13.75,28.6875,0.10909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818182,0.98181818,0.01818182,0.0,0.0,0.0,2
FS-1006,0.0,0.0,0.0,0.0,84.42068966,14.5,32.25,0.06896552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01724138,0.0,0.0,0.0,0
FS-0355,0.0,0.0,0.0,0.0,79.4,12.5,30.25,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.0,0.0,0.0,2
FS-0639,0.0,0.0,0.0,0.0,64.52677596,20.33333333,37.55555556,0.08196721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344,0.98360656,0.03278689,0.0,0.0,0.0,0
FS-2586,0.0,0.0,0.0,0.0,87.80526316,14.25,12.1875,0.10526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01754386,0.0,0.0,0.0,2
FS-0601,0.0,0.0,0.0,0.0,79.17894737,19.0,0.0,0.15789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03508772,0.0,0.0,0.0,0
FS-0805,0.0,0.0,0.0,0.0,66.8,12.0,4.8,0.11666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01666667,0.0,0.0,0.0,2
FS-1758,0.0,0.0,0.0,0.0,74.53333333,28.0,8.66666667,0.03571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
FS-1806,0.0,0.0,0.0,0.0,76.82222222,24.0,14.0,0.06944444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01388889,0.0,0.0,0.0,0
FS-1547,0.0,0.0,0.0,0.0,65.34761905,15.75,6.6875,0.07936508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01587302,0.0,0.0,0.0,0
FS-2590,0.0,0.0,0.0,0.0,79.31587302,15.75,19.6875,0.03174603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
FS-0442,0.0,0.0,0.0,0.0,75.02962963,13.5,17.25,0.12962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01851852,0.0,0.0,0.0,2
FS-0164,0.0,0.0,0.0,0.0,70.42857143,17.5,10.25,0.07142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01428571,0.0,0.0,0.0,0
FS-1680,0.0,0.0,0.0,0.0,73.47142857,12.25,6.6875,0.2244898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04081633,0.0,0.0,0.0,2
FS-2690,0.0,0.0,0.0,0.0,74.525,16.0,30.5,0.109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03125,0.0,0.0,0.0,2
FS-2048,0.0,0.0,0.0,0.0,70.66666667,20.0,42.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0,0
FS-1217,0.0,0.0,0.0,0.0,63.85870647,22.33333333,88.22222222,0.05970149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
FS-1106,0.0,0.0,0.0,0.0,80.21481481,13.5,4.25,0.09259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
